target,kernel,correlation_method,kernel_objective_spearman_correlation,kernel_objective_spearman_p_value,kernel_condition_number,kernel_log_abs_determinant,surrogate_normalized_mse_mean,surrogate_normalized_mse_std,surrogate_r2_mean,surrogate_r2_std,surrogate_nlpd_mean,surrogate_nlpd_std
target_len_5_refined_3,wl_kernel_1,spearman,0.023907344777307115,0.09259863636562124,100531.21696597317,-417.25682569537946,2.6896632220912844,4.392879318046796,-1.1696597693503343,1.3039731915095776,105.71737273907965,167.87599053729355
target_len_5_refined_3,wl_kernel_2,spearman,-0.013902247694365731,0.328118812434251,29077622.236642834,-987.2748428745698,3.6181317674217617,6.213459600444615,-1.2687072083597337,1.3061689041891527,588.1067256702402,919.7124312168286
target_len_5_refined_3,wl_kernel_3,spearman,-0.04204910004567528,0.0030866121538694474,7123848.688894112,-866.2321308184878,4.5864729709578445,6.862172444127892,-3.752712517536884,3.4917307502532284,653.0402913132947,1034.1104266979294
target_len_5_refined_3,damg_kernel_1,spearman,0.2828704359455731,9.882823737172352e-92,87.76833975251759,-48.47570233677063,2.633195984148167,4.921726784509407,0.15014942397144387,0.2795152604815881,2.8240602011766094,4.113185192669053
target_len_5_refined_3,damg_kernel_2,spearman,0.01907698434150978,0.1796063857398952,30903.73347372616,-inf,4.990739322186102,7.3009875216900495,-5.317722901332354,6.1660284855274305,62.65316000144854,69.62574309349512
target_len_5_refined_3,damg_kernel_3,spearman,-0.0002745204483889265,0.984594326670069,3788007654145969.0,-inf,4.437427839731487,6.376337375835408,-5.569869206811647,9.612203937669074,1218.1172909933553,1738.6689597359816
target_len_5_refined_3,operator_histogram_kernel,spearman,0.12483865972206,1.1918973913381775e-18,1815099407.4293132,-inf,3.2695634393779587,6.095089038173593,-0.042314951262760525,0.0749413377345029,18.74131730853659,26.096076499868246
target_len_3,noisy_hierarchical_tree_kernel,spearman,-0.026251443495999317,0.06477547174336272,25896.58825171347,-698.5008578517267,0.5710038076543593,0.39831404589024316,0.4831710387335253,0.14236367289171298,1.2302490671692485,0.48408395655713216
target_len_3,noisy_hierarchical_wl_kernel,spearman,-0.02064171553824859,0.146484551534819,236631.48518476041,-738.686189035812,0.5733319417262722,0.36029335222099557,0.4658342537473444,0.1629557763251698,1.2232183401618892,0.4129789534437345
target_len_3,noisy_hierarchical_damg_kernel,spearman,0.18125118607747945,8.005969779868188e-38,1242.12329942477,-509.76291878302976,0.5157958763383477,0.4422566428744484,0.5504490429757569,0.20207215610662674,1.2211097674507032,0.6802488520978126
target_len_3,noisy_combined_hierarchical_kernel,spearman,0.10391542368861724,2.317028587597674e-13,2106.2999955971904,-491.1103431292142,0.5157959508727038,0.4422566026607842,0.5504489574837355,0.20207207374116037,1.2211134739235512,0.6802559724551669
target_len_3,noisy_hybrid_kernel,spearman,0.26009387756267915,2.3884199686455618e-77,1162.780759059643,-508.27204342276485,0.47048909070698947,0.3351020068374077,0.5749030125544948,0.12927992309939013,1.0455129468555506,0.5775005842489513
target_len_3,noisy_hierarchical_damg_kernel_13,spearman,0.27794646541022616,1.6699958738876357e-88,742.2637253946718,-518.8274176126644,0.5157975631692391,0.4422553634785528,0.5504470317392568,0.2020698583866915,1.2211021616116207,0.6802457570305838
target_len_3,tree_kernel_1,spearman,-0.02393520463860194,0.09221900852261934,10721.414042219287,-328.3927735792429,0.5818226725080636,0.3921845114737796,0.469550995097941,0.13668692726975135,11.430956953373686,8.293206499499794
target_len_3,tree_kernel_2,spearman,-0.047898126083703925,0.0007489161961473515,6401571724702851.0,-inf,1.5978268572190772,0.8071437714120431,-0.5462107211040215,0.4604016530112605,954.6771379350397,640.9788706325963
target_len_3,tree_kernel_3,spearman,-0.012537824553177122,0.3778168110488067,5495.184857922284,-inf,1.6972808275739673,0.8515311543631189,-0.6411032429562395,0.45923854100029293,996.0371903167621,614.7655541782538
target_len_3,wl_kernel_1,spearman,-0.0021774870032622525,0.8782710909545085,124344.25380591917,-348.39097268146577,0.7884771383814753,0.27362861792120896,0.21328894934610423,0.0954133831410464,31.4174346894253,16.58046461286939
target_len_3,wl_kernel_2,spearman,-0.045674812276861175,0.0013072936628247568,7037528641816867.0,-inf,1.5987566374265207,0.5476322388586095,-0.6158670350886839,0.37288730102578443,589.2356627944097,313.60236195473675
target_len_3,wl_kernel_3,spearman,-0.01472024276732508,0.30045627752183474,5675893900052421.0,-inf,1.8388030311763708,0.7789250513793693,-0.8718981080519544,0.7530047919278572,744.8016223279777,355.44649205334565
target_len_3,damg_kernel_1,spearman,0.4748794316936469,6.342873712134664e-277,212.93740900901088,-66.1128629297633,0.5181209015084206,0.4408746141203171,0.5476835745027862,0.2000295930263287,1.1154915677822843,0.5373180147600916
target_len_3,damg_kernel_2,spearman,0.0210512985995649,0.13863850698092015,8102106407582039.0,-inf,1.1225302559958275,0.37749888196940506,-0.1203239240393621,0.10415057597755215,5467.270316141962,1792.4017529388457
